EmployeeID,Experience(yrs),TaskAssigned,TaskCompleted,DeadlinesMet,DeadlinesMissed,number of EOM,EOM points (agg) ,EOY(points),Manager Score,Holidays Taken,Number of overtime
67,22,238,144,112,94,10,1019,49,90,103,116
68,25,420,353,128,67,6,407,55,84,43,186
69,4,441,245,4,196,8,375,14,48,147,89
70,8,262,174,174,88,11,929,93,6,48,147
71,3,230,208,41,22,2,1036,2,40,30,223
72,14,108,36,14,72,7,1006,84,59,75,21
73,10,181,16,6,165,5,1068,56,69,34,127
74,28,490,200,192,290,6,537,25,20,121,5
75,0,2,2,1,0,0,567,31,11,52,40
76,19,284,143,12,141,11,223,19,11,21,102
77,11,466,385,17,81,11,1105,0,31,31,113
78,10,33,32,21,1,5,1190,87,43,146,87
79,11,272,138,133,134,11,215,28,100,38,4
80,22,241,119,111,122,11,67,67,94,114,11
81,18,334,141,41,193,11,222,45,9,145,13
82,18,142,70,13,72,9,1191,98,28,98,129
83,30,234,134,9,100,6,416,85,16,67,152
84,15,75,65,19,10,2,1086,10,14,112,80
85,22,418,131,64,287,2,717,30,92,11,195
86,24,476,67,12,409,10,256,58,32,62,191
87,12,316,37,33,279,1,588,43,14,130,101
88,7,211,72,47,139,5,376,49,46,12,125
89,16,437,423,35,14,4,920,47,68,28,61
90,13,239,85,41,154,3,65,54,58,103,75
91,5,436,329,328,107,11,682,84,11,92,60
92,13,242,21,1,221,8,564,6,23,43,48
93,11,146,0,0,146,4,817,59,85,3,231
94,14,410,292,183,118,3,704,81,53,87,34
95,2,104,4,0,100,5,1154,30,8,150,95
96,1,479,103,38,376,4,1125,24,94,10,135
97,1,134,118,47,16,8,962,23,71,35,224
98,12,62,9,9,53,3,959,64,69,101,5
99,9,280,59,32,221,10,280,42,35,56,47
100,1,106,97,97,9,12,52,28,95,135,31
101,29,153,110,73,43,3,300,32,32,102,125
102,21,147,7,0,140,3,1168,10,49,148,19
103,12,76,70,60,6,9,389,21,27,113,37
104,21,109,5,5,104,0,1051,90,83,24,17
105,30,449,300,233,149,4,864,30,60,71,20
106,9,420,63,23,357,7,344,83,6,55,11
107,8,374,203,104,171,9,593,84,68,78,103
108,25,274,197,155,77,4,997,91,61,59,82
109,24,264,221,137,43,3,525,50,95,70,98
110,20,249,225,54,24,6,1030,92,100,41,19
111,15,17,8,2,9,4,265,31,72,42,169
112,21,17,8,0,9,5,191,29,84,30,151
113,18,391,181,140,210,2,941,70,7,138,23
114,4,49,45,21,4,11,529,67,55,123,6
115,25,122,18,5,104,12,308,90,31,67,182
116,23,75,44,2,31,7,867,6,100,1,153
117,14,232,112,26,120,5,189,10,61,132,77
118,23,229,188,123,41,4,1073,47,56,68,18
119,25,43,30,16,13,1,265,39,12,54,148
120,24,181,47,40,134,5,542,38,12,140,64
121,26,460,39,18,421,6,349,85,65,20,164
122,0,246,132,56,114,5,434,67,20,70,32
123,22,325,293,21,32,11,495,4,72,81,3
124,14,329,306,92,23,2,767,36,33,34,163
125,26,353,52,12,301,3,590,54,88,80,112
126,5,167,103,35,64,12,999,89,17,83,21
127,29,376,132,16,244,12,64,35,66,12,80
128,3,434,124,90,310,1,274,31,57,131,54
129,6,406,258,7,148,10,290,85,49,51,16
130,18,471,259,16,212,6,436,41,3,91,122
131,14,280,27,16,253,4,898,35,38,87,83
132,6,349,160,108,189,2,902,1,74,104,86
133,5,245,62,21,183,9,189,56,22,75,88
134,20,290,247,230,43,7,977,79,45,102,24
135,17,5,0,0,5,2,961,44,90,54,154
136,8,68,36,34,32,9,479,24,16,63,149
137,22,242,149,4,93,8,665,32,45,99,24
138,16,326,43,23,283,6,404,66,93,93,3
139,23,314,162,141,152,7,1118,66,99,106,82
140,7,229,138,87,91,3,12,13,41,117,123
141,8,128,18,3,110,7,959,47,82,92,161
142,12,220,182,93,38,6,330,48,50,112,35
143,21,462,252,223,210,8,97,1,3,68,116
144,16,93,73,23,20,7,492,89,32,47,105
145,5,135,110,77,25,7,179,86,88,142,81
146,6,416,319,277,97,2,377,2,90,9,146
147,8,233,136,39,97,2,259,58,50,72,144
148,16,74,54,47,20,12,779,64,38,68,133
149,11,12,6,0,6,9,29,40,93,109,106
150,17,224,156,65,68,12,1135,30,77,55,113
151,4,499,380,153,119,10,601,26,72,92,49
152,27,141,138,13,3,6,163,15,48,84,133
153,9,413,189,92,224,8,611,93,64,115,25
154,14,213,116,102,97,9,402,59,69,77,110
155,23,384,10,9,374,0,909,30,27,3,40
156,22,470,325,10,145,4,727,95,73,41,123
157,3,360,34,7,326,8,513,93,3,12,170
158,23,392,236,66,156,12,812,72,90,87,75
159,2,200,141,19,59,0,1045,34,81,65,140
160,5,102,49,45,53,7,137,34,66,94,146
161,24,55,17,7,38,8,614,92,18,48,87
162,24,198,132,109,66,0,1186,61,100,106,36
163,5,57,29,22,28,4,823,20,5,42,86
164,22,105,69,8,36,9,15,42,34,125,107
165,22,411,238,24,173,5,22,61,12,47,135
166,12,332,322,55,10,1,113,37,36,68,54
167,16,59,5,1,54,5,1183,65,8,101,12
168,26,246,157,128,89,3,1094,78,65,66,132
169,15,171,139,75,32,11,783,48,78,59,2
170,17,156,137,51,19,1,280,8,7,65,36
171,14,177,1,1,176,1,404,89,56,138,112
172,24,95,10,9,85,2,252,16,79,144,53
173,1,465,219,14,246,9,972,96,97,109,32
174,7,75,27,12,48,0,378,12,20,126,76
175,27,261,148,117,113,10,1154,38,76,90,139
176,24,155,61,36,94,11,820,88,89,76,177
177,23,74,26,14,48,2,1156,43,27,111,24
178,16,146,129,114,17,3,455,97,52,33,116
179,12,261,38,25,223,0,325,100,99,55,59
180,8,152,83,10,69,9,1111,73,85,68,100
181,13,56,35,15,21,8,566,92,19,125,111
182,24,12,6,5,6,6,242,68,34,100,74
183,8,498,323,227,175,12,501,53,11,4,242
184,19,471,430,3,41,5,272,0,42,26,130
185,8,200,72,25,128,12,266,85,83,50,64
186,28,263,12,9,251,11,372,15,30,111,112
187,3,336,191,71,145,12,1189,1,65,13,225
188,0,423,133,14,290,4,695,70,70,24,47
189,17,86,3,3,83,1,358,4,50,61,50
190,21,300,161,39,139,4,1094,55,24,89,141
191,20,296,148,142,148,8,12,86,74,111,44
192,6,36,14,4,22,6,82,57,39,134,63
193,16,241,167,67,74,6,342,18,69,81,70
194,5,467,367,17,100,3,414,64,48,59,155
195,23,61,3,0,58,4,584,94,59,147,0
196,22,385,205,144,180,1,1040,33,95,105,99
197,7,81,38,14,43,8,1116,82,38,62,137
198,1,333,89,74,244,9,864,28,81,1,125
199,26,416,253,18,163,10,118,67,23,121,68
200,3,187,98,27,89,7,481,32,91,141,12
201,20,485,291,70,194,8,741,48,83,5,4
202,27,358,196,113,162,4,406,33,21,116,122
203,10,474,71,54,403,0,31,35,81,71,97
204,30,352,17,11,335,10,62,69,88,19,90
205,18,397,167,82,230,11,626,81,8,90,122
206,29,449,146,27,303,8,424,17,91,78,33
207,25,66,54,30,12,3,659,38,34,21,135
208,22,18,7,1,11,5,1086,74,36,150,107
209,21,484,126,109,358,1,427,96,91,0,148
210,29,406,131,43,275,7,1042,61,85,98,160
211,6,368,113,99,255,12,960,54,60,150,37
212,20,259,235,231,24,4,785,90,61,51,49
213,7,281,117,6,164,1,422,64,81,98,46
214,4,214,89,84,125,11,391,7,91,86,86
215,5,247,114,9,133,12,1161,12,69,39,138
216,24,126,68,50,58,7,929,88,41,92,43
217,5,294,150,85,144,2,595,65,26,17,19
218,13,268,264,220,4,3,782,56,26,122,62
219,5,474,432,6,42,3,421,49,92,81,178
220,19,8,6,5,2,9,524,49,13,13,159
221,4,382,233,219,149,9,45,2,21,27,212
222,17,223,185,104,38,4,17,93,90,119,82
223,7,201,76,41,125,2,1022,89,88,147,109
224,26,418,340,283,78,5,572,27,36,37,178
225,18,149,70,53,79,1,20,94,42,14,148
226,10,467,450,331,17,6,638,23,89,142,117
227,11,202,138,52,64,0,1098,92,100,86,111
228,22,298,84,64,214,11,1079,1,33,106,67
229,28,347,54,32,293,2,1019,17,94,144,57
230,26,484,117,62,367,2,553,98,84,21,177
231,22,49,8,6,41,2,557,12,41,102,70
232,20,219,206,161,13,3,77,61,44,96,125
233,20,81,3,1,78,12,56,85,62,4,42
234,7,289,11,10,278,3,786,75,85,53,52
235,25,354,105,27,249,9,76,81,52,111,17
236,15,477,123,36,354,1,799,34,46,23,165
237,14,351,324,19,27,4,955,50,56,8,126
238,12,99,24,13,75,12,172,11,50,11,1
239,11,336,309,137,27,12,501,57,80,44,51
240,24,39,38,15,1,0,97,27,38,88,4
241,17,78,42,21,36,10,456,77,33,102,103
242,23,443,118,83,325,5,845,83,27,29,95
243,18,324,77,72,247,7,369,1,3,130,46
244,27,84,20,14,64,3,580,27,75,130,24
245,29,465,183,24,282,3,577,36,16,1,111
246,11,49,11,2,38,2,241,51,7,27,49
247,13,309,93,26,216,8,312,84,76,20,0
248,29,465,115,29,350,6,434,8,32,64,94
249,29,52,50,32,2,12,1131,87,59,63,39
250,9,84,23,4,61,8,356,13,76,71,174
251,8,456,106,57,350,12,649,81,48,44,65
252,20,375,326,70,49,7,862,44,5,66,85
253,28,428,401,204,27,3,1069,21,59,2,214
254,24,34,18,14,16,11,1016,60,93,13,83
255,21,400,284,253,116,2,686,3,36,27,54
256,11,283,131,54,152,6,342,67,72,108,128
257,7,470,212,81,258,4,48,30,85,95,150
258,5,493,271,127,222,2,1106,55,37,11,225
259,18,301,228,216,73,1,580,66,3,90,58
260,26,230,205,166,25,5,667,77,74,50,107
261,4,10,7,2,3,8,725,53,91,114,39
262,21,445,418,8,27,11,1161,21,49,88,20
263,11,6,5,3,1,11,413,43,64,89,73
264,24,80,57,27,23,6,325,45,2,1,207
265,1,142,61,11,81,0,546,5,46,93,0
266,10,263,80,57,183,8,2,18,93,84,139
267,29,211,100,62,111,5,607,44,55,15,172
268,3,15,0,0,15,11,375,63,19,143,117
269,19,267,232,178,35,0,146,23,81,75,185
270,22,158,8,1,150,4,169,7,80,33,24
271,3,269,251,159,18,4,802,99,84,66,16
272,17,144,115,43,29,12,693,14,23,105,78
273,11,295,270,115,25,7,883,95,18,59,149
274,11,37,6,0,31,4,1186,90,18,62,188
275,25,272,167,155,105,6,583,86,39,131,53
276,18,37,30,30,7,3,654,76,64,123,113
277,30,106,4,3,102,11,317,63,78,68,41
278,3,486,15,3,471,12,673,36,74,126,98
279,6,191,136,73,55,11,1178,8,48,134,115
280,8,171,83,14,88,12,838,8,52,37,159
281,21,165,25,16,140,4,315,25,16,134,78
282,15,398,321,112,77,6,661,42,26,9,139
283,6,224,134,128,90,1,710,94,43,4,204
284,13,397,103,94,294,0,1047,47,30,119,130
285,24,255,235,99,20,5,1028,97,43,87,41
286,12,213,151,112,62,8,724,83,15,122,138
287,11,71,25,5,46,6,503,6,84,71,110
288,12,367,324,316,43,12,1094,5,59,65,34
289,27,491,2,0,489,2,1098,85,40,68,158
290,9,202,195,149,7,4,328,51,56,125,134
291,12,166,84,36,82,2,161,72,37,91,96
292,4,143,137,31,6,5,839,70,87,67,142
293,21,270,156,153,114,12,178,12,28,41,203
294,19,308,43,6,265,12,40,56,54,144,0
295,16,315,84,66,231,3,28,22,53,11,11
296,28,176,86,13,90,12,934,27,44,36,2
297,26,381,20,5,361,1,508,92,55,111,124
298,30,213,199,64,14,7,515,70,82,95,63
299,18,424,50,12,374,6,1065,58,87,35,218
300,28,295,199,51,96,11,307,2,88,12,58
301,22,431,27,13,404,10,823,20,81,114,19
302,28,495,40,24,455,9,99,73,61,59,56
303,10,366,277,130,89,8,994,30,28,113,21
304,22,494,306,107,188,8,777,65,80,94,25
305,6,205,170,46,35,1,892,54,68,33,153
306,5,72,13,6,59,7,873,55,12,13,51
307,24,112,70,1,42,2,610,76,2,57,113
308,20,362,23,1,339,7,764,44,64,5,229
309,19,426,25,18,401,3,695,82,62,140,12
310,12,13,12,7,1,12,1064,59,31,116,86
311,18,71,24,1,47,8,117,83,10,92,10
312,10,337,46,40,291,9,546,66,22,53,33
313,13,220,106,89,114,9,31,87,26,4,83
314,7,212,123,1,89,12,151,45,5,46,213
315,5,50,14,6,36,8,1172,6,16,2,152
316,8,185,140,117,45,0,910,95,58,27,165
317,17,395,316,220,79,11,464,48,12,14,20
318,7,20,0,0,20,5,19,71,97,98,153
319,20,461,298,30,163,6,285,68,46,50,190
320,9,73,48,20,25,11,466,24,72,76,178
321,5,327,251,174,76,6,31,48,51,132,12
322,13,2,2,0,0,0,107,43,32,98,85
323,5,297,197,187,100,6,195,86,2,129,11
324,6,498,407,281,91,6,504,82,20,132,44
325,5,16,9,1,7,5,77,33,96,133,66
326,30,189,151,110,38,8,129,18,51,8,162
327,10,8,0,0,8,11,169,86,10,143,43
328,2,451,355,326,96,9,236,76,49,62,58
329,28,434,92,41,342,7,22,28,88,25,18
330,14,486,479,437,7,1,1067,43,43,10,47
331,22,203,4,1,199,9,1153,71,77,85,8
332,18,251,158,136,93,5,1061,32,16,100,143
333,25,436,161,53,275,12,823,19,97,18,151
334,14,214,71,60,143,8,970,33,7,52,177
335,1,116,85,27,31,4,1195,25,70,17,90
336,14,261,260,27,1,7,251,77,91,13,223
337,29,56,47,30,9,9,680,4,32,94,10
338,20,232,168,164,64,8,983,14,32,140,34
339,2,21,5,4,16,7,703,44,53,82,61
340,15,372,204,36,168,12,786,32,2,80,159
341,3,470,378,1,92,10,1080,56,81,91,33
342,1,48,4,1,44,2,643,6,47,147,106
343,23,132,115,18,17,11,979,79,44,144,1
344,6,138,19,15,119,1,434,17,6,78,155
345,10,400,301,101,99,3,854,32,65,2,95
346,4,446,102,13,344,8,530,30,4,60,75
347,23,210,88,55,122,7,1170,28,25,41,72
348,23,238,203,197,35,5,465,78,68,86,80
349,10,148,137,24,11,6,384,7,11,3,256
350,7,310,218,110,92,11,962,97,16,132,62
351,25,381,248,77,133,7,274,51,17,14,72
352,12,73,63,46,10,10,933,19,39,32,92
353,17,272,159,57,113,0,523,47,1,125,74
354,7,61,39,3,22,2,263,87,93,115,28
355,8,207,74,23,133,1,473,49,0,37,42
356,30,303,267,235,36,8,115,31,60,29,226
357,14,266,211,161,55,1,380,69,96,54,7
358,11,436,297,222,139,7,69,83,94,56,180
359,10,287,117,100,170,12,327,29,85,103,75
360,17,394,82,52,312,4,848,88,13,1,96
361,27,357,171,94,186,6,545,95,44,145,114
362,29,253,20,11,233,11,182,81,67,45,106
363,12,82,45,36,37,4,824,71,36,1,132
364,8,386,165,52,221,9,100,33,38,67,58
365,10,265,37,4,228,11,1083,40,17,103,88
366,12,275,259,172,16,6,400,4,25,144,90
367,12,312,161,151,151,4,280,21,28,43,5
368,29,43,17,10,26,11,1051,40,83,3,226
369,14,432,55,19,377,5,824,13,92,104,115
370,28,327,149,48,178,5,335,20,40,86,162
371,23,91,79,34,12,4,920,69,9,121,89
372,19,315,225,157,90,2,341,19,16,146,76
373,23,361,20,1,341,3,821,33,44,8,153
374,18,457,59,25,398,8,164,21,100,56,169
375,28,33,8,7,25,7,947,93,51,12,89
376,29,157,59,23,98,7,650,22,98,15,232
377,4,296,46,27,250,7,1190,37,37,103,23
378,10,162,114,4,48,4,196,84,78,36,208
379,10,274,203,196,71,0,345,37,52,133,103
380,22,205,103,26,102,12,1112,59,99,91,147
381,27,484,393,209,91,12,97,58,53,147,53
382,1,458,217,159,241,8,433,86,21,116,79
383,25,334,220,99,114,10,1174,43,21,114,13
384,29,23,16,1,7,6,975,90,55,56,76
385,27,270,193,10,77,10,1172,87,71,104,31
386,9,441,211,162,230,0,859,71,36,115,140
387,19,380,114,91,266,10,735,37,31,73,13
388,25,291,65,59,226,9,839,13,5,120,1
389,22,211,37,14,174,9,312,10,0,98,62
390,6,470,161,7,309,8,215,9,87,127,25
391,24,292,167,125,125,7,918,13,8,144,41
392,0,165,158,3,7,0,29,5,0,92,128
393,29,266,55,23,211,12,1193,79,60,13,127
394,18,60,44,1,16,1,1174,95,5,91,149
395,16,24,3,1,21,7,567,32,31,148,65
396,7,344,68,1,276,11,1031,65,64,33,70
397,4,3,3,1,0,7,613,47,7,135,25
398,15,238,218,73,20,4,218,52,89,48,204
399,8,479,103,32,376,6,261,15,2,38,73
400,5,395,218,51,177,3,277,94,3,84,121
401,27,35,14,10,21,4,752,62,73,92,80
402,4,236,92,92,144,6,871,8,40,121,11
403,22,89,75,59,14,9,1184,69,0,110,99
404,6,358,78,20,280,9,1114,85,97,46,108
405,16,157,156,0,1,2,1198,36,75,91,16
406,7,206,123,59,83,1,267,93,93,25,224
407,2,500,33,18,467,8,695,11,57,136,25
408,4,322,263,58,59,5,127,45,24,59,72
409,21,357,143,46,214,1,319,64,79,132,124
410,26,429,96,83,333,0,0,84,77,5,181
411,22,26,20,10,6,6,1084,99,47,96,134
412,30,281,48,31,233,1,1123,28,21,94,148
413,16,58,25,9,33,11,139,5,21,144,37
414,29,421,41,7,380,1,877,40,71,47,138
415,20,260,241,92,19,3,871,3,93,145,16
416,23,417,229,163,188,0,972,56,23,3,85
417,12,16,4,2,12,11,724,6,22,58,120
418,16,359,227,154,132,12,1133,57,97,75,31
419,18,342,51,30,291,8,281,50,0,78,101
420,30,216,98,58,118,8,432,80,81,33,22
421,11,401,390,218,11,10,1074,39,19,131,82
422,10,250,66,10,184,0,558,94,67,130,122
423,7,13,4,4,9,0,982,2,54,76,168
424,22,352,205,48,147,10,740,66,11,131,127
425,11,86,26,11,60,8,147,18,77,54,101
426,11,490,456,96,34,10,642,32,71,43,146
427,4,153,142,82,11,6,796,92,85,95,107
428,8,123,38,28,85,3,247,88,27,64,24
429,2,169,28,15,141,6,187,86,72,60,16
430,26,127,16,12,111,5,1147,74,54,12,205
431,5,438,326,204,112,3,158,76,9,134,46
432,4,488,480,55,8,8,433,1,28,53,192
433,4,111,99,14,12,7,1109,67,2,62,197
434,23,485,139,69,346,4,130,3,93,5,149
435,11,352,267,185,85,11,452,54,52,10,76
436,5,199,76,36,123,8,1073,53,55,116,23
437,21,346,136,119,210,4,478,75,48,146,109
438,6,143,111,48,32,7,144,69,94,77,85
439,8,42,11,7,31,11,430,12,26,75,161
440,24,470,405,212,65,11,1195,63,84,31,134
441,29,458,41,5,417,7,545,68,85,138,97
442,16,288,141,28,147,1,896,21,1,5,179
443,25,18,1,0,17,12,247,97,86,137,35
444,1,223,27,22,196,6,1052,72,43,133,33
445,7,370,288,20,82,8,712,72,85,112,51
446,30,420,379,368,41,5,941,79,0,26,16
447,28,410,280,253,130,12,1060,45,71,46,62
448,22,47,2,1,45,8,983,2,20,45,101
449,30,185,184,169,1,10,1190,64,12,115,59
450,14,72,10,10,62,8,1122,34,30,22,210
451,5,366,71,59,295,10,286,30,75,32,227
452,3,280,224,164,56,9,207,43,60,100,160
453,16,39,25,22,14,7,439,4,5,84,101
454,30,358,110,67,248,5,132,46,100,84,150
455,12,320,22,12,298,6,983,17,15,29,79
456,30,338,5,4,333,10,202,72,84,106,2
457,24,437,94,36,343,2,1143,71,31,89,6
458,16,449,428,235,21,12,82,70,47,14,141
459,28,109,93,65,16,11,334,47,97,47,1
460,28,402,117,49,285,2,281,92,39,4,117
461,17,175,146,103,29,4,315,35,28,9,69
462,15,435,254,31,181,8,193,5,92,145,15
463,13,496,226,50,270,6,972,83,48,131,27
464,29,390,324,278,66,5,756,55,85,12,247
465,25,475,340,123,135,1,424,30,75,133,17
466,6,441,132,100,309,3,832,35,73,8,34
467,5,295,179,32,116,10,970,11,83,6,170
468,9,305,282,258,23,11,995,59,19,2,98
469,26,460,79,73,381,11,74,86,50,19,28
470,10,390,292,210,98,0,103,97,97,58,32
471,1,300,29,25,271,0,1048,82,12,128,109
472,17,35,0,0,35,10,81,3,4,107,121
473,0,89,32,18,57,11,30,27,62,67,59
474,22,369,55,42,314,2,693,62,80,96,12
475,28,232,216,85,16,7,415,97,56,111,92
476,7,496,463,93,33,3,1021,76,28,12,63
477,26,18,11,9,7,9,406,16,39,96,51
478,7,245,160,118,85,7,815,12,27,132,43
479,13,347,128,53,219,7,970,32,37,124,26
480,28,113,68,1,45,11,31,36,88,95,22
481,16,275,8,2,267,4,463,47,24,22,69
482,6,391,386,334,5,4,1195,12,19,88,90
483,10,298,70,27,228,1,409,5,39,41,97
484,3,179,79,11,100,10,308,10,29,127,81
485,19,421,387,252,34,8,870,19,79,27,93
486,29,216,78,2,138,7,337,91,5,43,189
487,1,109,45,1,64,7,1110,21,22,54,148
488,0,314,250,214,64,6,356,89,8,120,6
489,4,137,33,21,104,2,1058,98,73,0,56
490,7,92,44,15,48,5,982,28,33,131,78
491,24,38,29,5,9,4,0,81,95,52,175
492,6,497,489,323,8,6,647,65,78,95,143
493,14,415,146,66,269,9,726,94,22,51,2
494,13,232,198,33,34,3,339,55,39,99,12
495,11,251,1,1,250,8,162,92,90,121,48
496,19,483,447,446,36,2,850,2,5,35,18
497,10,177,83,58,94,12,485,11,51,131,50
498,22,138,122,18,16,6,348,91,35,149,64
499,24,57,17,0,40,0,838,2,44,132,113
500,28,271,248,84,23,6,483,46,52,86,97
501,5,316,20,0,296,2,198,94,71,73,106
502,23,376,266,190,110,11,838,83,12,108,126
503,1,4,1,0,3,5,779,61,25,121,130
504,27,371,269,128,102,9,528,99,29,77,27
505,18,181,139,71,42,2,345,95,12,65,38
506,22,112,55,27,57,7,709,17,74,95,123
507,28,375,56,9,319,9,1024,35,70,31,72
508,24,35,10,3,25,8,720,49,48,12,161
509,19,113,61,56,52,9,35,76,86,56,22
510,15,188,128,87,60,2,673,36,58,41,194
511,7,66,9,1,57,2,985,8,58,119,43
512,21,434,21,19,413,9,489,83,46,11,112
513,20,88,28,23,60,12,839,9,27,35,220
514,13,307,193,31,114,7,673,24,17,150,76
515,24,8,6,2,2,7,508,58,96,63,19
516,7,280,42,7,238,12,82,38,63,4,76
517,5,478,141,105,337,11,1118,91,77,135,96
518,1,421,125,76,296,1,150,90,14,62,13
519,13,96,2,2,94,12,1074,26,66,58,163
520,26,402,230,9,172,9,621,65,80,43,87
521,16,338,336,289,2,7,613,88,3,132,124
522,6,360,328,130,32,9,227,15,11,73,50
523,1,195,177,23,18,3,503,7,8,149,50
524,18,442,419,149,23,6,985,76,3,130,54
525,10,469,256,224,213,9,153,81,54,119,65
526,30,421,360,246,61,5,135,59,90,127,78
527,4,35,17,0,18,1,823,25,94,94,46
528,21,485,51,47,434,12,1025,0,7,21,117
529,1,298,3,2,295,11,1199,21,82,102,91
530,21,222,205,153,17,1,885,86,17,81,56
531,12,260,125,107,135,6,72,1,68,97,20
532,9,311,3,2,308,8,294,78,93,78,123
533,26,382,239,81,143,7,616,97,15,30,214
534,0,482,239,153,243,1,587,86,85,120,128
535,3,75,26,12,49,7,540,18,29,36,201
536,30,180,99,82,81,2,98,75,23,3,114
537,18,43,18,7,25,12,1110,78,31,69,129
538,2,123,52,31,71,8,725,58,9,115,21
539,0,305,38,20,267,9,594,25,98,10,215
540,19,149,12,6,137,7,906,77,57,139,119
541,1,292,93,34,199,8,769,37,13,47,45
542,2,99,24,4,75,7,612,48,45,33,7
543,0,246,152,56,94,3,575,51,68,106,28
544,2,294,181,3,113,9,759,99,33,7,63
545,21,331,316,54,15,4,1030,27,64,23,149
546,17,264,194,124,70,12,366,69,0,109,46
547,24,469,148,48,321,6,248,15,77,123,134
548,14,420,42,18,378,2,1148,11,30,52,96
549,30,462,220,50,242,3,128,65,29,82,4
550,22,208,28,4,180,5,40,100,40,45,209
551,28,209,131,4,78,10,207,30,62,83,27
552,19,406,361,314,45,6,554,79,66,114,113
553,20,275,51,7,224,8,963,93,45,73,43
554,1,144,137,4,7,3,206,93,38,4,248
555,13,176,117,106,59,0,618,51,69,104,117
556,2,192,26,19,166,9,915,89,90,147,57
557,27,439,210,9,229,4,8,73,35,143,96
558,1,97,81,63,16,9,387,66,93,83,163
559,14,468,366,139,102,11,752,84,44,35,105
560,13,118,93,79,25,4,524,91,95,37,25
561,0,348,199,71,149,9,563,49,53,130,109
562,21,24,3,1,21,10,758,66,61,71,18
563,4,400,215,132,185,8,968,44,51,43,212
564,1,366,343,15,23,3,152,88,23,64,96
565,27,268,122,98,146,6,506,86,39,130,52
566,14,323,133,65,190,1,1004,28,22,136,49
567,6,335,196,183,139,1,1182,45,64,89,162
568,10,87,44,24,43,3,782,58,6,5,232
569,0,436,183,96,253,9,934,41,37,41,62
570,11,154,102,32,52,9,233,34,27,81,57
571,10,75,15,14,60,10,481,99,35,89,136
