
input orientation, VRS
DMU,Category,Original,Target,Radial,Non-radial
,EOM points (agg),696.000000,695.999995,0.000000,-0.000005
,Manager Score,79.000000,79.000000,0.000000,-0.000000
,TaskCompleted,36.000000,217.962870,0.000000,181.962870
5.000000,Holidays Taken,148.000000,12.441487,-135.558513,0.000000
0.084064,DeadlinesMissed,137.000000,11.516782,-125.483219,0.000000
,Experience(yrs),15.000000,15.000000,0.000000,0.000000
,number of EOM,0.000000,4.133471,0.000000,4.133471
,EOY(points),88.000000,88.000001,0.000000,0.000001
,DeadlinesMet,126.000000,174.421976,0.000000,48.421976
,TaskAssigned,331.000000,331.000004,0.000000,0.000004
,EOM points (agg),211.000000,661.605051,0.000000,450.605051
,Manager Score,24.000000,49.142712,0.000000,25.142712
,TaskCompleted,194.000000,319.483223,0.000000,125.483223
6.000000,Holidays Taken,98.000000,18.906928,-79.093072,0.000000
0.192928,DeadlinesMissed,20.000000,3.858557,-16.141443,0.000000
,Experience(yrs),0.000000,11.671613,0.000000,11.671613
,number of EOM,1.000000,3.716847,0.000000,2.716847
,EOY(points),36.000000,53.652437,0.000000,17.652437
,DeadlinesMet,239.000000,271.378608,0.000000,32.378608
,TaskAssigned,380.000000,380.000003,0.000000,0.000003
,EOM points (agg),959.000000,959.000010,0.000000,0.000010
,Manager Score,46.000000,46.000001,0.000000,0.000001
,TaskCompleted,360.000000,376.141446,0.000000,16.141446
7.000000,Holidays Taken,125.000000,6.704823,-118.295177,-0.000000
0.053639,DeadlinesMissed,139.000000,7.455763,-131.544237,-0.000000
,Experience(yrs),0.000000,15.592748,0.000000,15.592748
,number of EOM,1.000000,4.417173,0.000000,3.417173
,EOY(points),44.000000,59.761837,0.000000,15.761837
,DeadlinesMet,118.000000,170.096125,0.000000,52.096125
,TaskAssigned,273.000000,272.999998,0.000000,-0.000002
,EOM points (agg),71.000000,682.749014,0.000000,611.749014
,Manager Score,69.000000,68.999999,0.000000,-0.000001
,TaskCompleted,134.000000,265.544235,0.000000,131.544235
8.000000,Holidays Taken,16.000000,4.542772,-11.457228,0.000000
0.283923,DeadlinesMissed,60.000000,17.035394,-42.964606,0.000000
,Experience(yrs),23.000000,23.000000,0.000000,0.000000
,number of EOM,7.000000,7.000000,0.000000,0.000000
,EOY(points),63.000000,68.362652,0.000000,5.362652
,DeadlinesMet,100.000000,100.000002,0.000000,0.000002
,TaskAssigned,204.000000,204.000002,0.000000,0.000002
,EOM points (agg),161.000000,362.943523,0.000000,201.943523
,Manager Score,85.000000,85.000000,0.000000,0.000000
,TaskCompleted,144.000000,186.964608,0.000000,42.964608
9.000000,Holidays Taken,125.000000,54.205661,-70.794339,0.000000
0.433645,DeadlinesMissed,8.000000,3.469162,-4.530838,0.000000
,Experience(yrs),15.000000,15.016404,0.000000,0.016404
,number of EOM,0.000000,4.195154,0.000000,4.195154
,EOY(points),21.000000,38.235128,0.000000,17.235128
,DeadlinesMet,319.000000,319.000002,0.000000,0.000002
,TaskAssigned,348.000000,382.792131,0.000000,34.792131
,EOM points (agg),801.000000,801.000002,0.000000,0.000002
,Manager Score,58.000000,58.000000,0.000000,0.000000
,TaskCompleted,340.000000,379.322969,0.000000,39.322969
10.000000,Holidays Taken,68.000000,68.000000,0.000000,0.000000
1.000000,DeadlinesMissed,0.000000,0.000000,0.000000,0.000000
,Experience(yrs),2.000000,2.000000,0.000000,0.000000
,number of EOM,12.000000,12.000000,0.000000,0.000000
,EOY(points),6.000000,6.000000,0.000000,0.000000
,DeadlinesMet,78.000000,78.000000,0.000000,0.000000
,TaskAssigned,110.000000,110.000000,0.000000,0.000000
,EOM points (agg),866.000000,866.000000,0.000000,0.000000
,Manager Score,37.000000,37.000000,0.000000,0.000000
,TaskCompleted,110.000000,110.000000,0.000000,0.000000
11.000000,Holidays Taken,121.000000,18.600694,-102.399305,-0.000000
0.153725,DeadlinesMissed,39.000000,5.995265,-33.004735,-0.000000
,Experience(yrs),26.000000,26.000000,0.000000,0.000000
,number of EOM,7.000000,8.576783,0.000000,1.576783
,EOY(points),33.000000,80.419523,0.000000,47.419523
,DeadlinesMet,31.000000,170.877746,0.000000,139.877746
,TaskAssigned,307.000000,307.000000,0.000000,-0.000000
,EOM points (agg),96.000000,637.003079,0.000000,541.003079
,Manager Score,21.000000,54.972348,0.000000,33.972348
,TaskCompleted,268.000000,301.004735,0.000000,33.004735
12.000000,Holidays Taken,25.000000,10.487084,-14.512916,-0.000000
0.419483,DeadlinesMissed,143.000000,59.986122,-83.013878,0.000000
,Experience(yrs),12.000000,21.457423,0.000000,9.457423
,number of EOM,10.000000,10.000000,0.000000,0.000000
,EOY(points),83.000000,83.000000,0.000000,0.000000
,DeadlinesMet,27.000000,74.807471,0.000000,47.807471
,TaskAssigned,244.000000,244.000000,0.000000,0.000000
,EOM points (agg),922.000000,922.000003,0.000000,0.000003
,Manager Score,53.000000,53.000000,0.000000,-0.000000
,TaskCompleted,101.000000,184.013878,0.000000,83.013878
13.000000,Holidays Taken,56.000000,6.552152,-49.447848,-0.000000
0.117003,DeadlinesMissed,204.000000,23.868554,-180.131445,-0.000001
,Experience(yrs),9.000000,9.920500,0.000000,0.920500
,number of EOM,8.000000,8.000000,0.000000,-0.000000
,EOY(points),19.000000,32.097158,0.000000,13.097158
,DeadlinesMet,89.000000,241.081414,0.000000,152.081414
,TaskAssigned,411.000000,411.000001,0.000000,0.000001
,EOM points (agg),903.000000,903.000002,0.000000,0.000002
,Manager Score,8.000000,36.621870,0.000000,28.621870
,TaskCompleted,207.000000,387.131446,0.000000,180.131446
14.000000,Holidays Taken,61.000000,10.752740,-50.247260,0.000000
0.176274,DeadlinesMissed,38.000000,6.698428,-31.301572,0.000000
,Experience(yrs),8.000000,24.403523,0.000000,16.403523
,number of EOM,0.000000,5.518556,0.000000,5.518556
,EOY(points),81.000000,81.000000,0.000000,-0.000000
,DeadlinesMet,0.000000,7.218495,0.000000,7.218495
,TaskAssigned,48.000000,48.000000,0.000000,0.000000
,EOM points (agg),521.000000,521.000001,0.000000,0.000001
,Manager Score,94.000000,94.000000,0.000000,-0.000000
,TaskCompleted,10.000000,41.301572,0.000000,31.301572
15.000000,Holidays Taken,60.000000,41.312983,-18.687017,-0.000000
0.688550,DeadlinesMissed,127.000000,87.445814,-39.554186,-0.000001
,Experience(yrs),29.000000,29.000000,0.000000,-0.000000
,number of EOM,1.000000,6.103614,0.000000,5.103614
,EOY(points),83.000000,83.000000,0.000000,-0.000000
,DeadlinesMet,102.000000,101.999999,0.000000,-0.000001
,TaskAssigned,230.000000,229.999998,0.000000,-0.000002
,EOM points (agg),693.000000,692.999997,0.000000,-0.000003
,Manager Score,90.000000,90.000000,0.000000,-0.000000
,TaskCompleted,103.000000,142.554185,0.000000,39.554185
16.000000,Holidays Taken,48.000000,10.093396,-37.906604,-0.000000
0.210279,DeadlinesMissed,279.000000,58.667863,-220.332137,-0.000000
,Experience(yrs),3.000000,18.659489,0.000000,15.659489
,number of EOM,8.000000,8.000000,0.000000,-0.000000
,EOY(points),4.000000,69.829862,0.000000,65.829862
,DeadlinesMet,25.000000,172.383744,0.000000,147.383744
,TaskAssigned,413.000000,412.999999,0.000000,-0.000001
,EOM points (agg),771.000000,770.999995,0.000000,-0.000005
,Manager Score,87.000000,87.000000,0.000000,-0.000000
,TaskCompleted,134.000000,354.332135,0.000000,220.332135
17.000000,Holidays Taken,143.000000,5.954598,-137.045402,0.000000
0.041641,DeadlinesMissed,16.000000,0.666249,-15.333751,-0.000000
,Experience(yrs),17.000000,21.076753,0.000000,4.076753
,number of EOM,5.000000,5.528125,0.000000,0.528125
,EOY(points),31.000000,67.497765,0.000000,36.497765
,DeadlinesMet,13.000000,14.887272,0.000000,1.887272
,TaskAssigned,29.000000,29.000000,0.000000,0.000000
,EOM points (agg),866.000000,866.000001,0.000000,0.000001
,Manager Score,3.000000,58.511331,0.000000,55.511331
,TaskCompleted,13.000000,28.333751,0.000000,15.333751
18.000000,Holidays Taken,97.000000,97.000000,0.000000,0.000000
1.000000,DeadlinesMissed,252.000000,252.000000,0.000000,0.000000
,Experience(yrs),17.000000,17.000000,0.000000,0.000000
,number of EOM,11.000000,11.000000,0.000000,0.000000
,EOY(points),94.000000,94.000000,0.000000,0.000000
,DeadlinesMet,70.000000,70.000000,0.000000,0.000000
,TaskAssigned,324.000000,324.000000,0.000000,0.000000
,EOM points (agg),1165.000000,1165.000000,0.000000,0.000000
,Manager Score,88.000000,88.000000,0.000000,0.000000
,TaskCompleted,72.000000,72.000000,0.000000,0.000000
19.000000,Holidays Taken,147.000000,6.235649,-140.764351,-0.000000
0.042419,DeadlinesMissed,133.000000,5.641778,-127.358222,-0.000000
,Experience(yrs),4.000000,10.957555,0.000000,6.957555
,number of EOM,4.000000,4.247881,0.000000,0.247881
,EOY(points),40.000000,57.108050,0.000000,17.108050
,DeadlinesMet,90.000000,105.916490,0.000000,15.916490
,TaskAssigned,223.000000,222.999998,0.000000,-0.000002
,EOM points (agg),79.000000,796.370771,0.000000,717.370771
,Manager Score,70.000000,70.000000,0.000000,-0.000000
,TaskCompleted,90.000000,217.358220,0.000000,127.358220
20.000000,Holidays Taken,25.000000,8.466593,-16.533407,0.000000
0.338664,DeadlinesMissed,163.000000,55.202185,-107.797815,-0.000000
,Experience(yrs),4.000000,18.271594,0.000000,14.271594
,number of EOM,1.000000,6.246658,0.000000,5.246658
,EOY(points),71.000000,71.000000,0.000000,0.000000
,DeadlinesMet,163.000000,162.999999,0.000000,-0.000001
,TaskAssigned,331.000000,344.248511,0.000000,13.248511
,EOM points (agg),714.000000,713.999997,0.000000,-0.000003
,Manager Score,92.000000,92.000000,0.000000,0.000000
,TaskCompleted,168.000000,289.046326,0.000000,121.046326
21.000000,Holidays Taken,122.000000,11.399439,-110.600561,-0.000000
0.093438,DeadlinesMissed,0.000000,0.000000,-0.000000,0.000000
,Experience(yrs),7.000000,20.043625,0.000000,13.043625
,number of EOM,1.000000,6.737276,0.000000,5.737276
,EOY(points),20.000000,61.130818,0.000000,41.130818
,DeadlinesMet,12.000000,12.000000,0.000000,-0.000000
,TaskAssigned,14.000000,21.023015,0.000000,7.023015
,EOM points (agg),811.000000,810.999997,0.000000,-0.000003
,Manager Score,9.000000,77.088452,0.000000,68.088452
,TaskCompleted,14.000000,21.023015,0.000000,7.023015
22.000000,Holidays Taken,68.000000,6.106163,-61.893837,-0.000000
0.089797,DeadlinesMissed,52.000000,4.669419,-47.330581,-0.000000
,Experience(yrs),21.000000,23.206221,0.000000,2.206221
,number of EOM,9.000000,9.000000,0.000000,-0.000000
,EOY(points),50.000000,50.000000,0.000000,0.000000
,DeadlinesMet,10.000000,61.334133,0.000000,51.334133
,TaskAssigned,66.000000,95.930167,0.000000,29.930167
,EOM points (agg),237.000000,281.018446,0.000000,44.018446
,Manager Score,39.000000,64.793325,0.000000,25.793325
,TaskCompleted,14.000000,91.260748,0.000000,77.260748
23.000000,Holidays Taken,92.000000,51.547916,-27.593408,-12.858676
0.700072,DeadlinesMissed,2.000000,1.400143,-0.599857,0.000000
,Experience(yrs),6.000000,13.350110,0.000000,7.350110
,number of EOM,5.000000,6.356358,0.000000,1.356358
,EOY(points),48.000000,58.543639,0.000000,10.543639
,DeadlinesMet,93.000000,93.192023,0.000000,0.192023
,TaskAssigned,293.000000,293.000000,0.000000,-0.000000
,EOM points (agg),441.000000,440.999999,0.000000,-0.000001
,Manager Score,88.000000,88.000000,0.000000,-0.000000
,TaskCompleted,291.000000,291.599856,0.000000,0.599856
24.000000,Holidays Taken,41.000000,41.000000,0.000000,0.000000
1.000000,DeadlinesMissed,13.000000,13.000000,0.000000,0.000000
,Experience(yrs),30.000000,30.000000,0.000000,0.000000
,number of EOM,11.000000,11.000000,0.000000,0.000000
,EOY(points),59.000000,59.000000,0.000000,0.000000
,DeadlinesMet,84.000000,84.000000,0.000000,0.000000
,TaskAssigned,111.000000,111.000000,0.000000,0.000000
,EOM points (agg),1091.000000,1091.000000,0.000000,0.000000
,Manager Score,20.000000,20.000000,0.000000,0.000000
,TaskCompleted,98.000000,98.000000,0.000000,0.000000
25.000000,Holidays Taken,130.000000,29.435399,-100.564602,0.000000
0.226426,DeadlinesMissed,18.000000,4.075671,-13.924329,0.000000
,Experience(yrs),19.000000,19.000000,0.000000,-0.000000
,number of EOM,4.000000,6.228722,0.000000,2.228722
,EOY(points),54.000000,58.307193,0.000000,4.307193
,DeadlinesMet,226.000000,244.762126,0.000000,18.762126
,TaskAssigned,361.000000,360.999999,0.000000,-0.000001
,EOM points (agg),1129.000000,1128.999998,0.000000,-0.000002
,Manager Score,22.000000,41.726698,0.000000,19.726698
,TaskCompleted,343.000000,356.924329,0.000000,13.924329
26.000000,Holidays Taken,16.000000,16.000000,0.000000,0.000000
1.000000,DeadlinesMissed,106.000000,106.000000,0.000000,0.000000
,Experience(yrs),23.000000,23.000000,0.000000,0.000000
,number of EOM,4.000000,4.000000,0.000000,0.000000
,EOY(points),14.000000,14.000000,0.000000,0.000000
,DeadlinesMet,45.000000,45.000000,0.000000,0.000000
,TaskAssigned,373.000000,373.000000,0.000000,0.000000
,EOM points (agg),863.000000,863.000000,0.000000,0.000000
,Manager Score,96.000000,96.000000,0.000000,0.000000
,TaskCompleted,267.000000,267.000000,0.000000,0.000000
27.000000,Holidays Taken,107.000000,14.806981,-92.193019,-0.000000
0.138383,DeadlinesMissed,195.000000,26.984685,-168.015315,-0.000000
,Experience(yrs),25.000000,25.000000,0.000000,-0.000000
,number of EOM,12.000000,12.000000,0.000000,0.000000
,EOY(points),8.000000,39.942659,0.000000,31.942659
,DeadlinesMet,1.000000,139.461883,0.000000,138.461883
,TaskAssigned,223.000000,223.000000,0.000000,-0.000000
,EOM points (agg),167.000000,276.955693,0.000000,109.955693
,Manager Score,43.000000,76.585854,0.000000,33.585854
,TaskCompleted,28.000000,196.015315,0.000000,168.015315
28.000000,Holidays Taken,40.000000,15.237762,-24.762238,0.000000
0.380944,DeadlinesMissed,96.000000,36.570628,-59.429372,0.000000
,Experience(yrs),29.000000,29.000000,0.000000,0.000000
,number of EOM,8.000000,8.000000,0.000000,-0.000000
,EOY(points),20.000000,53.953634,0.000000,33.953634
,DeadlinesMet,10.000000,174.003708,0.000000,164.003708
,TaskAssigned,273.000000,273.000001,0.000000,0.000001
,EOM points (agg),947.000000,947.000001,0.000000,0.000001
,Manager Score,49.000000,49.000000,0.000000,0.000000
,TaskCompleted,177.000000,236.429372,0.000000,59.429372
29.000000,Holidays Taken,18.000000,3.249089,-14.750911,-0.000000
0.180505,DeadlinesMissed,112.000000,20.216553,-91.783447,-0.000000
,Experience(yrs),2.000000,23.023803,0.000000,21.023803
,number of EOM,10.000000,10.000000,0.000000,-0.000000
,EOY(points),0.000000,55.196720,0.000000,55.196720
,DeadlinesMet,6.000000,55.562499,0.000000,49.562499
,TaskAssigned,120.000000,120.000001,0.000000,0.000001
,EOM points (agg),469.000000,469.000001,0.000000,0.000001
,Manager Score,81.000000,81.000000,0.000000,0.000000
,TaskCompleted,8.000000,99.783448,0.000000,91.783448
30.000000,Holidays Taken,66.000000,28.009775,-37.990226,0.000001
0.424391,DeadlinesMissed,174.000000,73.843952,-100.156050,0.000002
,Experience(yrs),26.000000,26.000000,0.000000,0.000000
,number of EOM,12.000000,12.000000,0.000000,0.000000
,EOY(points),50.000000,57.582235,0.000000,7.582235
,DeadlinesMet,56.000000,132.778454,0.000000,76.778454
,TaskAssigned,269.000000,269.000002,0.000000,0.000002
,EOM points (agg),830.000000,830.000011,0.000000,0.000011
,Manager Score,68.000000,71.765041,0.000000,3.765041
,TaskCompleted,95.000000,195.156050,0.000000,100.156050
31.000000,Holidays Taken,72.000000,6.782469,-65.217531,-0.000000
0.094201,DeadlinesMissed,9.000000,0.847809,-8.152191,0.000000
,Experience(yrs),11.000000,19.552249,0.000000,8.552249
,number of EOM,6.000000,6.939950,0.000000,0.939950
,EOY(points),56.000000,57.774762,0.000000,1.774762
,DeadlinesMet,80.000000,79.999999,0.000000,-0.000001
,TaskAssigned,99.000000,98.999999,0.000000,-0.000001
,EOM points (agg),105.000000,534.086715,0.000000,429.086715
,Manager Score,41.000000,53.201832,0.000000,12.201832
,TaskCompleted,90.000000,98.152191,0.000000,8.152191
32.000000,Holidays Taken,104.000000,25.543367,-78.456634,0.000000
0.245609,DeadlinesMissed,62.000000,15.227776,-46.772224,0.000000
,Experience(yrs),7.000000,8.034012,0.000000,1.034012
,number of EOM,12.000000,12.000000,0.000000,-0.000000
,EOY(points),56.000000,56.000000,0.000000,-0.000000
,DeadlinesMet,47.000000,99.015467,0.000000,52.015467
,TaskAssigned,204.000000,204.000002,0.000000,0.000002
,EOM points (agg),744.000000,743.999998,0.000000,-0.000002
,Manager Score,23.000000,40.380573,0.000000,17.380573
,TaskCompleted,142.000000,188.772226,0.000000,46.772226
33.000000,Holidays Taken,54.000000,26.202145,-27.797855,-0.000001
0.485225,DeadlinesMissed,207.000000,100.441555,-106.558444,-0.000002
,Experience(yrs),0.000000,17.391799,0.000000,17.391799
,number of EOM,12.000000,12.000000,0.000000,-0.000000
,EOY(points),45.000000,45.000000,0.000000,-0.000000
,DeadlinesMet,27.000000,78.820226,0.000000,51.820226
,TaskAssigned,235.000000,234.999998,0.000000,-0.000002
,EOM points (agg),921.000000,920.999995,0.000000,-0.000005
,Manager Score,77.000000,77.000000,0.000000,-0.000000
,TaskCompleted,28.000000,134.558443,0.000000,106.558443
34.000000,Holidays Taken,144.000000,44.302192,-99.697807,-0.000001
0.307654,DeadlinesMissed,25.000000,7.691353,-17.308647,-0.000000
,Experience(yrs),15.000000,15.000000,0.000000,-0.000000
,number of EOM,12.000000,12.000000,0.000000,-0.000000
,EOY(points),33.000000,38.239636,0.000000,5.239636
,DeadlinesMet,21.000000,117.063773,0.000000,96.063773
,TaskAssigned,227.000000,227.000000,0.000000,0.000000
,EOM points (agg),1053.000000,1052.999996,0.000000,-0.000004
,Manager Score,5.000000,43.991739,0.000000,38.991739
,TaskCompleted,202.000000,219.308647,0.000000,17.308647
35.000000,Holidays Taken,52.000000,5.979802,-46.020198,0.000000
0.114996,DeadlinesMissed,60.000000,6.899772,-53.100228,0.000000
,Experience(yrs),0.000000,12.094718,0.000000,12.094718
,number of EOM,3.000000,3.444417,0.000000,0.444417
,EOY(points),47.000000,53.002758,0.000000,6.002758
,DeadlinesMet,124.000000,179.999694,0.000000,55.999694
,TaskAssigned,268.000000,267.999999,0.000000,-0.000001
,EOM points (agg),626.000000,882.294912,0.000000,256.294912
,Manager Score,63.000000,63.000000,0.000000,-0.000000
,TaskCompleted,208.000000,261.100227,0.000000,53.100227
36.000000,Holidays Taken,50.000000,19.002830,-30.997170,0.000000
0.380057,DeadlinesMissed,102.000000,38.765774,-63.234227,0.000001
,Experience(yrs),3.000000,10.982605,0.000000,7.982605
,number of EOM,10.000000,10.000000,0.000000,0.000000
,EOY(points),24.000000,29.250808,0.000000,5.250808
,DeadlinesMet,29.000000,196.252837,0.000000,167.252837
,TaskAssigned,461.000000,461.000003,0.000000,0.000003
,EOM points (agg),922.000000,922.000006,0.000000,0.000006
,Manager Score,1.000000,55.784056,0.000000,54.784056
,TaskCompleted,359.000000,422.234229,0.000000,63.234229
37.000000,Holidays Taken,93.000000,93.000000,0.000000,0.000000
1.000000,DeadlinesMissed,50.000000,50.000000,0.000000,0.000000
,Experience(yrs),10.000000,10.000000,0.000000,0.000000
,number of EOM,12.000000,12.000000,0.000000,0.000000
,EOY(points),17.000000,17.000000,0.000000,0.000000
,DeadlinesMet,33.000000,33.000000,0.000000,0.000000
,TaskAssigned,338.000000,338.000000,0.000000,0.000000
,EOM points (agg),1159.000000,1159.000000,0.000000,0.000000
,Manager Score,11.000000,11.000000,0.000000,0.000000
,TaskCompleted,288.000000,288.000000,0.000000,0.000000
38.000000,Holidays Taken,150.000000,30.313444,-119.686557,0.000001
0.202090,DeadlinesMissed,224.000000,45.268076,-178.731925,0.000001
,Experience(yrs),9.000000,21.917768,0.000000,12.917768
,number of EOM,1.000000,6.073656,0.000000,5.073656
,EOY(points),14.000000,67.655982,0.000000,53.655982
,DeadlinesMet,39.000000,44.005007,0.000000,5.005007
,TaskAssigned,322.000000,322.000002,0.000000,0.000002
,EOM points (agg),10.000000,653.158033,0.000000,643.158033
,Manager Score,99.000000,99.000000,0.000000,0.000000
,TaskCompleted,98.000000,276.731925,0.000000,178.731925
39.000000,Holidays Taken,70.000000,6.162224,-63.837776,-0.000000
0.088032,DeadlinesMissed,22.000000,1.936699,-20.063301,0.000000
,Experience(yrs),18.000000,18.000000,0.000000,-0.000000
,number of EOM,0.000000,4.918286,0.000000,4.918286
,EOY(points),29.000000,70.343209,0.000000,41.343209
,DeadlinesMet,0.000000,20.920773,0.000000,20.920773
,TaskAssigned,36.000000,39.316456,0.000000,3.316456
,EOM points (agg),1089.000000,1089.000001,0.000000,0.000001
,Manager Score,18.000000,26.103944,0.000000,8.103944
,TaskCompleted,14.000000,37.379757,0.000000,23.379757
40.000000,Holidays Taken,95.000000,23.536697,-71.463303,-0.000000
0.247755,DeadlinesMissed,25.000000,6.193868,-18.806132,-0.000000
,Experience(yrs),12.000000,12.000000,0.000000,-0.000000
,number of EOM,11.000000,11.000000,0.000000,-0.000000
,EOY(points),39.000000,42.373467,0.000000,3.373467
,DeadlinesMet,131.000000,130.999999,0.000000,-0.000001
,TaskAssigned,208.000000,281.570932,0.000000,73.570932
,EOM points (agg),976.000000,975.999992,0.000000,-0.000008
,Manager Score,7.000000,57.227391,0.000000,50.227391
,TaskCompleted,183.000000,275.377064,0.000000,92.377064
41.000000,Holidays Taken,124.000000,14.546506,-109.453494,-0.000000
0.117311,DeadlinesMissed,53.000000,6.217458,-46.782542,-0.000000
,Experience(yrs),21.000000,21.437416,0.000000,0.437416
,number of EOM,2.000000,8.306839,0.000000,6.306839
,EOY(points),47.000000,67.743231,0.000000,20.743231
,DeadlinesMet,40.000000,40.000000,0.000000,-0.000000
,TaskAssigned,95.000000,116.177489,0.000000,21.177489
,EOM points (agg),874.000000,873.999995,0.000000,-0.000005
,Manager Score,91.000000,90.999999,0.000000,-0.000001
,TaskCompleted,42.000000,109.960031,0.000000,67.960031
42.000000,Holidays Taken,111.000000,6.017025,-104.982975,0.000000
0.054207,DeadlinesMissed,235.000000,12.738746,-222.261254,-0.000000
,Experience(yrs),21.000000,21.000000,0.000000,-0.000000
,number of EOM,5.000000,5.016947,0.000000,0.016947
,EOY(points),66.000000,66.000000,0.000000,0.000000
,DeadlinesMet,2.000000,206.940389,0.000000,204.940389
,TaskAssigned,288.000000,288.000002,0.000000,0.000002
,EOM points (agg),287.000000,577.391913,0.000000,290.391913
,Manager Score,24.000000,65.729001,0.000000,41.729001
,TaskCompleted,53.000000,275.261256,0.000000,222.261256
43.000000,Holidays Taken,148.000000,6.609840,-141.390160,-0.000000
0.044661,DeadlinesMissed,49.000000,2.188393,-46.811607,-0.000000
,Experience(yrs),10.000000,13.742153,0.000000,3.742153
,number of EOM,6.000000,6.000000,0.000000,0.000000
,EOY(points),63.000000,63.000000,0.000000,-0.000000
,DeadlinesMet,29.000000,106.760354,0.000000,77.760354
,TaskAssigned,144.000000,144.000000,0.000000,0.000000
,EOM points (agg),400.000000,461.489641,0.000000,61.489641
,Manager Score,38.000000,38.000000,0.000000,-0.000000
,TaskCompleted,95.000000,141.811607,0.000000,46.811607
44.000000,Holidays Taken,6.000000,6.000000,0.000000,0.000000
1.000000,DeadlinesMissed,0.000000,0.000000,0.000000,0.000000
,Experience(yrs),23.000000,23.000000,0.000000,0.000000
,number of EOM,6.000000,6.000000,0.000000,0.000000
,EOY(points),66.000000,66.000000,0.000000,0.000000
,DeadlinesMet,10.000000,10.000000,0.000000,0.000000
,TaskAssigned,19.000000,19.000000,0.000000,0.000000
,EOM points (agg),730.000000,730.000000,0.000000,0.000000
,Manager Score,84.000000,84.000000,0.000000,0.000000
,TaskCompleted,19.000000,19.000000,0.000000,0.000000
45.000000,Holidays Taken,57.000000,3.069817,-53.930183,0.000000
0.053856,DeadlinesMissed,79.000000,4.254659,-74.745341,0.000000
,Experience(yrs),12.000000,12.000000,0.000000,0.000000
,number of EOM,1.000000,3.264625,0.000000,2.264625
,EOY(points),18.000000,57.821894,0.000000,39.821894
,DeadlinesMet,6.000000,56.606057,0.000000,50.606057
,TaskAssigned,88.000000,88.000001,0.000000,0.000001
,EOM points (agg),438.000000,996.835686,0.000000,558.835686
,Manager Score,69.000000,69.000001,0.000000,0.000001
,TaskCompleted,9.000000,83.745341,0.000000,74.745341
46.000000,Holidays Taken,48.000000,8.744947,-39.255053,-0.000000
0.182186,DeadlinesMissed,324.000000,59.028392,-264.971606,-0.000001
,Experience(yrs),0.000000,19.546871,0.000000,19.546871
,number of EOM,3.000000,4.700964,0.000000,1.700964
,EOY(points),48.000000,48.000000,0.000000,0.000000
,DeadlinesMet,71.000000,195.002434,0.000000,124.002434
,TaskAssigned,459.000000,459.000002,0.000000,0.000002
,EOM points (agg),96.000000,610.164832,0.000000,514.164832
,Manager Score,73.000000,73.000000,0.000000,0.000000
,TaskCompleted,135.000000,399.971609,0.000000,264.971609
47.000000,Holidays Taken,44.000000,5.460822,-38.539178,0.000000
0.124110,DeadlinesMissed,122.000000,15.141370,-106.858630,0.000000
,Experience(yrs),1.000000,11.361672,0.000000,10.361672
,number of EOM,6.000000,6.000000,0.000000,-0.000000
,EOY(points),47.000000,50.551538,0.000000,3.551538
