EmployeeID,Experience(yrs),TaskAssigned,TaskCompleted,DeadlinesMet,DeadlinesMissed,number of EOM,EOM points (agg) ,EOY(points),Manager Score,Holidays Taken,Efficiency
188,20,133,54,126,79,3,1052,26,24,35,0.538452
189,2,45,9,7,36,6,331,83,77,63,0.238025
190,30,147,61,62,86,12,117,99,4,39,1.0
191,11,360,89,189,271,0,133,61,13,125,0.241829
192,25,319,155,125,164,2,632,76,76,126,0.337104
193,21,197,100,53,97,4,572,42,84,35,0.216214
194,29,236,187,236,49,1,26,75,14,109,1.0
195,27,184,115,29,69,1,1001,0,64,148,0.210073
196,10,308,47,64,261,7,699,11,65,145,0.092373
197,9,91,31,4,60,11,634,24,47,41,0.19809
198,23,67,64,23,3,5,948,3,63,27,1.0
199,16,123,2,44,121,5,424,85,87,108,0.144451
