EmployeeID,Experience(yrs),TaskAssigned,TaskCompleted,DeadlinesMet,DeadlinesMissed,number of EOM,EOM points (agg) ,EOY(points),Manager Score,Holidays Taken
164,3,305,42,302,263,2,662,54,100,54
165,25,276,273,143,3,5,1101,92,82,59
166,26,178,110,42,68,1,58,55,68,127
167,27,308,155,294,153,0,616,43,30,136
168,13,299,14,147,285,1,409,96,78,21
169,13,129,6,96,123,8,399,100,12,144
170,30,43,23,7,20,8,1180,74,41,48
171,10,120,47,38,73,2,1194,29,73,100
172,26,252,249,235,3,9,83,75,73,6
173,2,352,334,51,18,11,283,68,91,18
174,16,304,300,123,4,8,127,32,14,71
175,26,119,89,86,30,0,1113,39,13,19
176,27,151,91,112,60,1,343,13,23,43
177,7,250,28,100,222,10,520,81,4,108
178,23,141,24,123,117,3,591,18,42,105
179,24,48,37,26,11,3,323,91,92,83
180,10,226,208,120,18,7,1043,66,86,127
181,11,34,18,18,16,5,253,30,63,48
182,2,23,2,17,21,9,93,51,29,62
183,17,41,32,15,9,12,370,65,43,20
184,22,141,100,29,41,11,152,89,46,33
185,18,89,56,4,33,5,229,100,38,123
186,18,244,171,39,73,2,394,70,4,55
187,14,305,67,294,238,8,1166,37,23,101
188,20,133,54,126,79,3,1052,26,24,35
189,2,45,9,7,36,6,331,83,77,63
190,30,147,61,62,86,12,117,99,4,39
191,11,360,89,189,271,0,133,61,13,125
192,25,319,155,125,164,2,632,76,76,126
193,21,197,100,53,97,4,572,42,84,35
194,29,236,187,236,49,1,26,75,14,109
195,27,184,115,29,69,1,1001,0,64,148
196,10,308,47,64,261,7,699,11,65,145
197,9,91,31,4,60,11,634,24,47,41
198,23,67,64,23,3,5,948,3,63,27
199,16,123,2,44,121,5,424,85,87,108
