
input orientation, VRS
DMU,Category,Original,Target,Radial,Non-radial
,TaskAssigned,48.000000,48.000000,0.000000,0.000000
,DeadlinesMet,23.000000,23.000000,0.000000,0.000000
,EOM points (agg),1127.000000,1127.000000,0.000000,0.000000
,TaskCompleted,38.000000,38.000000,0.000000,0.000000
,number of EOM,0.000000,0.000000,0.000000,0.000000
26.000000,Holidays Taken,45.000000,13.985305,-31.014695,-0.000000
0.310785,DeadlinesMissed,91.000000,28.281394,-62.718606,-0.000000
,Manager Score,4.000000,59.314852,0.000000,55.314852
,Experience(yrs),15.000000,26.310870,0.000000,11.310870
,EOY(points),59.000000,59.000000,0.000000,0.000000
,TaskAssigned,116.000000,136.430436,0.000000,20.430436
,DeadlinesMet,106.000000,106.000000,0.000000,0.000000
,EOM points (agg),1008.000000,1007.999996,0.000000,-0.000004
,TaskCompleted,25.000000,108.149042,0.000000,83.149042
,number of EOM,3.000000,6.328182,0.000000,3.328182
27.000000,Holidays Taken,12.000000,7.875426,-4.124574,-0.000000
0.656286,DeadlinesMissed,226.000000,45.546041,-77.679472,-102.774486
,Manager Score,72.000000,72.000000,0.000000,-0.000000
,Experience(yrs),24.000000,24.844460,0.000000,0.844460
,EOY(points),34.000000,68.709425,0.000000,34.709425
,TaskAssigned,266.000000,266.000000,0.000000,-0.000000
,DeadlinesMet,174.000000,174.000001,0.000000,0.000001
,EOM points (agg),488.000000,487.999996,0.000000,-0.000004
,TaskCompleted,40.000000,220.453959,0.000000,180.453959
,number of EOM,9.000000,9.000000,0.000000,0.000000
28.000000,Holidays Taken,88.000000,8.563923,-79.436077,-0.000000
0.097317,DeadlinesMissed,105.000000,10.218317,-94.781683,-0.000000
,Manager Score,3.000000,80.934605,0.000000,77.934605
,Experience(yrs),4.000000,26.521230,0.000000,22.521230
,EOY(points),20.000000,67.330005,0.000000,47.330005
,TaskAssigned,127.000000,126.999999,0.000000,-0.000001
,DeadlinesMet,9.000000,89.843907,0.000000,80.843907
,EOM points (agg),727.000000,726.999994,0.000000,-0.000006
,TaskCompleted,22.000000,116.781681,0.000000,94.781681
,number of EOM,6.000000,10.510175,0.000000,4.510175
29.000000,Holidays Taken,149.000000,16.016511,-132.983489,0.000001
0.107493,DeadlinesMissed,21.000000,2.257361,-18.742639,0.000000
,Manager Score,72.000000,72.000000,0.000000,0.000000
,Experience(yrs),14.000000,23.510030,0.000000,9.510030
,EOY(points),64.000000,78.133418,0.000000,14.133418
,TaskAssigned,104.000000,219.580797,0.000000,115.580797
,DeadlinesMet,1.000000,183.317079,0.000000,182.317079
,EOM points (agg),13.000000,180.019537,0.000000,167.019537
,TaskCompleted,83.000000,217.323437,0.000000,134.323437
,number of EOM,1.000000,9.097803,0.000000,8.097803
30.000000,Holidays Taken,41.000000,13.025493,-27.974507,0.000000
0.317695,DeadlinesMissed,194.000000,42.973416,-132.367182,-18.659402
,Manager Score,85.000000,85.000000,0.000000,-0.000000
,Experience(yrs),7.000000,15.151848,0.000000,8.151848
,EOY(points),38.000000,65.069832,0.000000,27.069832
,TaskAssigned,319.000000,319.000001,0.000000,0.000001
,DeadlinesMet,78.000000,78.000000,0.000000,-0.000000
,EOM points (agg),254.000000,604.962829,0.000000,350.962829
,TaskCompleted,125.000000,276.026584,0.000000,151.026584
,number of EOM,0.000000,9.267219,0.000000,9.267219
31.000000,Holidays Taken,14.000000,14.000000,0.000000,0.000000
1.000000,DeadlinesMissed,11.000000,11.000000,0.000000,0.000000
,Manager Score,12.000000,12.000000,0.000000,0.000000
,Experience(yrs),18.000000,18.000000,0.000000,0.000000
,EOY(points),59.000000,59.000000,0.000000,0.000000
,TaskAssigned,212.000000,212.000000,0.000000,0.000000
,DeadlinesMet,39.000000,39.000000,0.000000,0.000000
,EOM points (agg),747.000000,747.000000,0.000000,0.000000
,TaskCompleted,201.000000,201.000000,0.000000,0.000000
,number of EOM,9.000000,9.000000,0.000000,0.000000
32.000000,Holidays Taken,12.000000,5.718164,-6.281836,0.000000
0.476514,DeadlinesMissed,58.000000,27.637790,-30.362209,-0.000000
,Manager Score,45.000000,69.824287,0.000000,24.824287
,Experience(yrs),9.000000,28.317123,0.000000,19.317123
,EOY(points),41.000000,68.599223,0.000000,27.599223
,TaskAssigned,114.000000,150.360534,0.000000,36.360534
,DeadlinesMet,62.000000,110.859705,0.000000,48.859705
,EOM points (agg),479.000000,478.999999,0.000000,-0.000001
,TaskCompleted,56.000000,122.722744,0.000000,66.722744
,number of EOM,6.000000,10.427317,0.000000,4.427317
33.000000,Holidays Taken,108.000000,15.860878,-92.139122,0.000000
0.146860,DeadlinesMissed,47.000000,6.902419,-40.097581,0.000000
,Manager Score,3.000000,66.780911,0.000000,63.780911
,Experience(yrs),10.000000,22.175862,0.000000,12.175862
,EOY(points),41.000000,62.828595,0.000000,21.828595
,TaskAssigned,276.000000,275.999998,0.000000,-0.000002
,DeadlinesMet,49.000000,226.399013,0.000000,177.399013
,EOM points (agg),361.000000,360.999998,0.000000,-0.000002
,TaskCompleted,229.000000,269.097579,0.000000,40.097579
,number of EOM,8.000000,8.000000,0.000000,-0.000000
34.000000,Holidays Taken,39.000000,9.259869,-29.740131,-0.000000
0.237433,DeadlinesMissed,101.000000,23.980687,-77.019312,-0.000000
,Manager Score,93.000000,93.000000,0.000000,-0.000000
,Experience(yrs),8.000000,26.590528,0.000000,18.590528
,EOY(points),70.000000,73.874118,0.000000,3.874118
,TaskAssigned,204.000000,203.999999,0.000000,-0.000001
,DeadlinesMet,95.000000,154.332180,0.000000,59.332180
,EOM points (agg),827.000000,826.999998,0.000000,-0.000002
,TaskCompleted,103.000000,180.019312,0.000000,77.019312
,number of EOM,9.000000,9.531385,0.000000,0.531385
35.000000,Holidays Taken,35.000000,35.000000,0.000000,0.000000
1.000000,DeadlinesMissed,145.000000,145.000000,0.000000,0.000000
,Manager Score,56.000000,56.000000,0.000000,0.000000
,Experience(yrs),28.000000,28.000000,0.000000,0.000000
,EOY(points),41.000000,41.000000,0.000000,0.000000
,TaskAssigned,336.000000,336.000000,0.000000,0.000000
,DeadlinesMet,104.000000,104.000000,0.000000,0.000000
,EOM points (agg),1080.000000,1080.000000,0.000000,0.000000
,TaskCompleted,191.000000,191.000000,0.000000,0.000000
,number of EOM,11.000000,11.000000,0.000000,0.000000
36.000000,Holidays Taken,122.000000,122.000000,0.000000,0.000000
1.000000,DeadlinesMissed,303.000000,303.000000,0.000000,0.000000
,Manager Score,90.000000,90.000000,0.000000,0.000000
,Experience(yrs),13.000000,13.000000,0.000000,0.000000
,EOY(points),89.000000,89.000000,0.000000,0.000000
,TaskAssigned,324.000000,324.000000,0.000000,0.000000
,DeadlinesMet,2.000000,2.000000,0.000000,0.000000
,EOM points (agg),680.000000,680.000000,0.000000,0.000000
,TaskCompleted,21.000000,21.000000,0.000000,0.000000
,number of EOM,9.000000,9.000000,0.000000,0.000000
37.000000,Holidays Taken,129.000000,129.000000,0.000000,0.000000
1.000000,DeadlinesMissed,13.000000,13.000000,0.000000,0.000000
,Manager Score,10.000000,10.000000,0.000000,0.000000
,Experience(yrs),25.000000,25.000000,0.000000,0.000000
,EOY(points),39.000000,39.000000,0.000000,0.000000
,TaskAssigned,321.000000,321.000000,0.000000,0.000000
,DeadlinesMet,42.000000,42.000000,0.000000,0.000000
,EOM points (agg),1100.000000,1100.000000,0.000000,0.000000
,TaskCompleted,308.000000,308.000000,0.000000,0.000000
,number of EOM,11.000000,11.000000,0.000000,0.000000
38.000000,Holidays Taken,146.000000,146.000000,0.000000,0.000000
1.000000,DeadlinesMissed,239.000000,239.000000,0.000000,0.000000
,Manager Score,84.000000,84.000000,0.000000,0.000000
,Experience(yrs),16.000000,16.000000,0.000000,0.000000
,EOY(points),77.000000,77.000000,0.000000,0.000000
,TaskAssigned,369.000000,369.000000,0.000000,0.000000
,DeadlinesMet,203.000000,203.000000,0.000000,0.000000
,EOM points (agg),128.000000,128.000000,0.000000,0.000000
,TaskCompleted,130.000000,130.000000,0.000000,0.000000
,number of EOM,9.000000,9.000000,0.000000,0.000000
39.000000,Holidays Taken,145.000000,145.000000,0.000000,0.000000
1.000000,DeadlinesMissed,378.000000,378.000000,0.000000,0.000000
,Manager Score,5.000000,5.000000,0.000000,0.000000
,Experience(yrs),6.000000,6.000000,0.000000,0.000000
,EOY(points),60.000000,60.000000,0.000000,0.000000
,TaskAssigned,392.000000,392.000000,0.000000,0.000000
,DeadlinesMet,346.000000,346.000000,0.000000,0.000000
,EOM points (agg),1043.000000,1043.000000,0.000000,0.000000
,TaskCompleted,14.000000,14.000000,0.000000,0.000000
,number of EOM,7.000000,7.000000,0.000000,0.000000
40.000000,Holidays Taken,9.000000,9.000000,0.000000,0.000000
1.000000,DeadlinesMissed,118.000000,118.000000,0.000000,0.000000
,Manager Score,54.000000,54.000000,0.000000,0.000000
,Experience(yrs),1.000000,1.000000,0.000000,0.000000
,EOY(points),43.000000,43.000000,0.000000,0.000000
,TaskAssigned,183.000000,183.000000,0.000000,0.000000
,DeadlinesMet,166.000000,166.000000,0.000000,0.000000
,EOM points (agg),646.000000,646.000000,0.000000,0.000000
,TaskCompleted,65.000000,65.000000,0.000000,0.000000
,number of EOM,11.000000,11.000000,0.000000,0.000000
41.000000,Holidays Taken,9.000000,9.000000,0.000000,0.000000
1.000000,DeadlinesMissed,45.000000,45.000000,0.000000,0.000000
,Manager Score,59.000000,59.000000,0.000000,0.000000
,Experience(yrs),18.000000,18.000000,0.000000,0.000000
,EOY(points),42.000000,42.000000,0.000000,0.000000
,TaskAssigned,387.000000,387.000000,0.000000,0.000000
,DeadlinesMet,33.000000,33.000000,0.000000,0.000000
,EOM points (agg),861.000000,861.000000,0.000000,0.000000
,TaskCompleted,342.000000,342.000000,0.000000,0.000000
,number of EOM,6.000000,6.000000,0.000000,0.000000
42.000000,Holidays Taken,131.000000,12.790600,-118.209400,0.000000
0.097638,DeadlinesMissed,61.000000,5.955928,-55.044072,0.000000
,Manager Score,34.000000,80.202784,0.000000,46.202784
,Experience(yrs),24.000000,25.909169,0.000000,1.909169
,EOY(points),66.000000,71.742187,0.000000,5.742187
,TaskAssigned,95.000000,95.215604,0.000000,0.215604
,DeadlinesMet,85.000000,85.000001,0.000000,0.000001
,EOM points (agg),378.000000,707.514481,0.000000,329.514481
,TaskCompleted,34.000000,89.259675,0.000000,55.259675
,number of EOM,11.000000,11.000000,0.000000,0.000000
43.000000,Holidays Taken,22.000000,6.457308,-15.542692,-0.000000
0.293514,DeadlinesMissed,162.000000,47.549271,-114.450729,-0.000000
,Manager Score,61.000000,62.990296,0.000000,1.990296
,Experience(yrs),23.000000,24.310236,0.000000,1.310236
,EOY(points),62.000000,64.287001,0.000000,2.287001
,TaskAssigned,267.000000,267.000001,0.000000,0.000001
,DeadlinesMet,132.000000,132.000001,0.000000,0.000001
,EOM points (agg),390.000000,390.000001,0.000000,0.000001
,TaskCompleted,105.000000,219.450730,0.000000,114.450730
,number of EOM,9.000000,9.000000,0.000000,0.000000
44.000000,Holidays Taken,106.000000,38.278118,-67.721883,0.000001
0.361114,DeadlinesMissed,12.000000,4.333372,-7.666628,0.000000
,Manager Score,71.000000,79.321660,0.000000,8.321660
,Experience(yrs),21.000000,25.321596,0.000000,4.321596
,EOY(points),11.000000,64.043120,0.000000,53.043120
,TaskAssigned,17.000000,157.735697,0.000000,140.735697
,DeadlinesMet,10.000000,81.493408,0.000000,71.493408
,EOM points (agg),1054.000000,1054.000010,0.000000,0.000010
,TaskCompleted,5.000000,153.402325,0.000000,148.402325
,number of EOM,1.000000,6.866721,0.000000,5.866721
45.000000,Holidays Taken,10.000000,10.000000,0.000000,0.000000
1.000000,DeadlinesMissed,8.000000,8.000000,0.000000,0.000000
,Manager Score,89.000000,89.000000,0.000000,0.000000
,Experience(yrs),28.000000,28.000000,0.000000,0.000000
,EOY(points),67.000000,67.000000,0.000000,0.000000
,TaskAssigned,20.000000,20.000000,0.000000,0.000000
,DeadlinesMet,20.000000,20.000000,0.000000,0.000000
,EOM points (agg),1062.000000,1062.000000,0.000000,0.000000
,TaskCompleted,12.000000,12.000000,0.000000,0.000000
,number of EOM,12.000000,12.000000,0.000000,0.000000
46.000000,Holidays Taken,135.000000,135.000000,0.000000,0.000000
1.000000,DeadlinesMissed,70.000000,70.000000,0.000000,0.000000
,Manager Score,6.000000,6.000000,0.000000,0.000000
,Experience(yrs),1.000000,1.000000,0.000000,0.000000
,EOY(points),73.000000,73.000000,0.000000,0.000000
,TaskAssigned,333.000000,333.000000,0.000000,0.000000
,DeadlinesMet,279.000000,279.000000,0.000000,0.000000
,EOM points (agg),1196.000000,1196.000000,0.000000,0.000000
,TaskCompleted,263.000000,263.000000,0.000000,0.000000
,number of EOM,12.000000,12.000000,0.000000,0.000000
47.000000,Holidays Taken,77.000000,77.000000,0.000000,0.000000
1.000000,DeadlinesMissed,317.000000,317.000000,0.000000,0.000000
,Manager Score,94.000000,94.000000,0.000000,0.000000
,Experience(yrs),17.000000,17.000000,0.000000,0.000000
,EOY(points),61.000000,61.000000,0.000000,0.000000
,TaskAssigned,389.000000,389.000000,0.000000,0.000000
,DeadlinesMet,337.000000,337.000000,0.000000,0.000000
